"NRSA_ID","MMI_BENT","BENT_MMI_COND","AGGR_ECO9_2015","STATE","ALB_X","ALB_Y","LON_DD83","LAT_DD83","YEAR","DATE_COL"
"FW08KS005",17.3,"Poor","TPL","KS",49646.2496982696,1685270.75332225,-95.4276836541,38.1989265534,2008,"22Jul2008"
"FW08KS006",15.68,"Poor","SPL","KS",-207177.91352748,1606789.2983361,-98.3653406497,37.4770197639,2008,"12Aug2008"
"FW08KS007",47.38,"Good","TPL","KS",82462.7495118487,1873061.62600878,-95.0272409999,39.8720392978,2009,"14Jul2009"
"FW08KS008",54.38,"Good","SPL","KS",-127534.469838081,1644035.68246566,-97.4627876821,37.8236040497,2008,"09Sep2008"
"FW08KS009",42.23,"Good","SPL","KS",-180431.391851768,1678930.47918359,-98.0780879881,38.1260924487,2009,"21Jul2009"
"FW08KS010",68.58,"Good","SPL","KS",-216587.682071171,1825692.20820653,-98.5394914703,39.4272767566,2009,"30Jun2009"
"FW08KS011",41.8,"Good","TPL","KS",92484.7672679295,1856832.06570939,-94.911220938,39.7262441819,2009,"15Jul2009"
"FW08KS012",77.17,"Good","TPL","KS",-37507.4348516663,1638994.34217819,-96.4299700717,37.7866243103,2008,"15Jul2008"
"FW08KS015",69.03,"Good","TPL","KS",28081.5838317668,1595350.61730789,-95.6797690032,37.3975359931,2009,"05Oct2009"
"FW08KS016",39.92,"Good","SPL","KS",-129939.189516951,1725985.20218222,-97.505251355,38.5543207654,2009,"19Aug2009"
"FW08KS017",25.37,"Fair","SPL","KS",-367783.444757071,1756989.3918317,-100.274142441,38.7663120539,2009,"02Jun2009"
"FW08KS018",68.02,"Good","TPL","KS",-27925.3494049406,1803260.6960041,-96.3265974142,39.2525221063,2008,"19Aug2008"
"FW08KS019",18.33,"Poor","SPL","KS",-429069.093651773,1768109.98678497,-100.991932666,38.8387644842,2009,"03Jun2009"
"FW08KS021",18.13,"Poor","SPL","KS",-182832.770818491,1877602.12436937,-98.1576791749,39.8978030668,2008,"15Sep2008"
"FW08KS022",51.23,"Good","SPL","KS",-104977.09139787,1831093.70086298,-97.2319020959,39.4952260484,2008,"07Oct2008"
"FW08KS023",18.02,"Poor","TPL","KS",99278.1124665966,1782270.50854137,-94.8419496813,39.0602729596,2009,"10Sep2009"
"FW08KS024",15.35,"Poor","SPL","KS",-110166.609562212,1589496.24689629,-97.255345149,37.3392244909,2009,"31Aug2009"
"FW08KS025",28.38,"Fair","SPL","KS",-181302.418926765,1743261.8351477,-98.1045218736,38.6997277916,2009,"12Aug2009"
"FW08KS028",76.73,"Good","TPL","KS",-74669.4370435853,1645686.18145951,-96.8566544106,37.8440850826,2009,"01Sep2009"
"FW08KS029",32.83,"Fair","SPL","KS",-313403.057599979,1564146.66335933,-99.5589380618,37.0671252339,2009,"18May2009"
"FW08KS031",28.67,"Fair","TPL","KS",28226.4825022697,1649607.68115952,-95.676007263,37.8816469276,2009,"24Aug2009"
"FW08KS032",61.2,"Good","TPL","KS",-18535.9498040923,1705369.79481795,-96.2142048091,38.3793918834,2009,"07Jul2009"
"FW08KS033",28.83,"Fair","SPL","KS",-503307.09220598,1675298.48135,-101.787959822,37.9745019764,2008,"29Jul2008"
"FW08KS036",25.65,"Fair","SPL","KS",-288862.404078845,1667113.79312415,-99.32134205,37.9932259891,2008,"25Aug2008"
"FW08KS037",42.35,"Good","SPL","KS",-273674.097619395,1860308.61969418,-99.2221286249,39.720590125,2009,"09Jun2009"
"FW08KS038",37.18,"Good","SPL","KS",-120605.266926552,1808080.85883695,-97.4112627685,39.2879678552,2008,"06Oct2008"
"FW08KS039",25.58,"Poor","TPL","KS",13672.7448102374,1776682.28204696,-95.8406129936,39.0157090352,2008,"08Jul2008"
"FW08KS040",61.23,"Good","SPL","KS",-169226.147048857,1648001.50123231,-97.9417931882,37.8523196352,2008,"22Sep2008"
"FW08KS042",16.82,"Poor","SPL","KS",-318725.734249726,1843298.0097082,-99.7441509308,39.5541658949,2008,"29Sep2008"
"FW08KS043",63.42,"Good","TPL","KS",16603.4568625217,1742019.15521659,-95.8072684367,38.7064016653,2008,"02Sep2008"
"FW08KS044",38.08,"Good","SPL","KS",-177791.662259549,1739241.29566138,-98.0627698093,38.6645530287,2009,"22Jun2009"
"FW08KS045",35.38,"Fair","SPL","KS",-262683.150647154,1568359.8922894,-98.9848909363,37.1202842603,2009,"19May2009"
"FW08KS047",42.45,"Good","TPL","KS",74198.9019613281,1607511.26296249,-95.1526485421,37.5035175116,2009,"29Sep2009"
"FW08KS048",40.75,"Good","TPL","KS",-39286.064397581,1720696.47317585,-96.4548419236,38.5154789402,2009,"08Jul2009"
"FW08KS055",20.92,"Poor","TPL","KS",43662.2990466586,1781118.99435739,-95.4907436223,39.0543522076,2009,"27May2009"
"FW08KS056",33.7,"Fair","SPL","KS",-153576.315965173,1626397.93333289,-97.7576773089,37.6623180905,2009,"28Jul2009"
"FW08KS057",21.8,"Fair","SPL","KS",-349245.363773406,1696261.09511939,-100.029068643,38.2322524254,2009,"13May2009"
"FW08KS058",57.35,"Good","SPL","KS",-276898.472510144,1791529.80635823,-99.2325282334,39.1062614965,2009,"08Jun2009"
"FW08KS059",72.27,"Good","TPL","KS",42110.0351573052,1728246.81822197,-95.5120147042,38.582714764,2009,"25Aug2009"
"FW08KS060",48.63,"Good","SPL","KS",-141721.887215082,1729885.630642,-97.6425001822,38.5873734534,2009,"26Aug2009"
"FW08KS061",25.43,"Fair","SPL","KS",-458760.626821372,1666762.60627459,-101.271344605,37.9215860293,2009,"11Aug2009"
"FW08KS063",62.7,"Good","TPL","KS",91033.8626595682,1687270.23931119,-94.9503473349,38.2136138682,2009,"16Sep2009"
"FW08KY001",53.22,"Good","SAP","KY",1135989.37667082,1759255.82488167,-82.8698797969,38.1590760298,2009,"26Aug2009"
"FW08KY002",40.25,"Fair","SAP","KY",828956.400814767,1600959.32811875,-86.571572027,37.0807508239,2009,"19Aug2009"
"FW08KY003",16.93,"Poor","SAP","KY",843758.224876989,1686752.49415176,-86.3051568857,37.829161376,2009,"22Aug2009"
"FW08KY004",44.42,"Fair","SAP","KY",969828.594697042,1796332.79579318,-84.7203772265,38.6770283612,2009,"17Sep2009"
"FW08KY005",52.13,"Good","SAP","KY",1095838.22873692,1739414.41135997,-83.3587189783,38.0321011852,2009,"15Sep2009"
"FW08KY006",30.15,"Poor","SAP","KY",756134.887918696,1568183.91207216,-87.4286474972,36.8510018821,2009,"25Aug2009"
"FW08KY007",17.13,"Poor","SAP","KY",1167066.69822844,1725963.24547177,-82.5694190404,37.8263132219,2009,"22Sep2009"
"FW08KY008",37.85,"Fair","SAP","KY",1104008.32164543,1613946.89404427,-83.4555036413,36.9127108272,2009,"11Aug2009"
"FW08KY009",68.03,"Good","SAP","KY",1083503.23180246,1696225.70444258,-83.564197368,37.6645886,2009,"18Sep2009"
"FW08KY011",27.85,"Poor","SAP","KY",1071190.93798872,1760434.31026177,-83.6083640223,38.2468916072,2009,"24Aug2009"
"FW08KY012",53.2,"Good","SAP","KY",902972.790155857,1560207.46037222,-85.7855834525,36.6508162328,2009,"15Aug2009"
"FW08KY014",32.43,"Fair","SAP","KY",1089714.57393539,1692136.50318077,-83.4998626551,37.6211654383,2009,"14Sep2009"
"FW08KY019",48.37,"Good","SAP","KY",912098.266045656,1633374.01630975,-85.5928898168,37.2911567583,2009,"21Aug2009"
"FW08KY020",22.08,"Poor","TPL","KY",794596.648456164,1610032.38202359,-86.9501710778,37.1911017502,2009,"21Aug2009"
"FW08KY021",39.82,"Fair","SAP","KY",1155888.45250929,1741711.74274248,-82.6711199444,37.9794283672,2009,"13Sep2009"
"FW08KY022",46,"Good","SAP","KY",910765.424370923,1783090.84705483,-85.4185368017,38.6201424964,2009,"23Aug2009"
"FW08KY023",60.85,"Good","SAP","KY",1030596.57718983,1640362.54124772,-84.2439627591,37.2300686488,2009,"12Aug2009"
"FW08KY024",46.52,"Good","SAP","KY",848232.873231881,1581313.81056615,-86.3763567415,36.8890839192,2009,"18Aug2009"
"FW08KY025",38.73,"Fair","SAP","KY",1093396.48974496,1645537.69340918,-83.5278608121,37.2046317583,2009,"13Aug2009"
"FW08KY026",17.45,"Poor","SAP","KY",1133460.19763977,1797226.80182205,-82.8383447143,38.4977174015,2009,"25Aug2009"
"FW08KY031",43.4,"Fair","SAP","KY",895538.962584198,1685466.90180094,-85.7162867288,37.7692804326,2009,"15Sep2009"
"FW08KY033",3.6,"Poor","CPL","KY",603417.180915722,1525249.70307617,-89.1879406045,36.5792262185,2009,"18Sep2009"
"FW08KY035",41.47,"Fair","SAP","KY",900251.534868907,1591941.91823852,-85.7776640338,36.9350346886,2009,"16Aug2009"
"FW08KY040",38.48,"Fair","SAP","KY",839824.820253021,1606052.6458147,-86.4429759617,37.1163061018,2009,"20Aug2009"
"FW08KY041",30.15,"Poor","SAP","KY",1132525.95723653,1661150.9490675,-83.0628145325,37.2961756463,2009,"20Sep2009"
"FW08KY042",11.65,"Poor","SAP","KY",1127489.15987107,1781074.78678611,-82.9324328099,38.3623126835,2009,"24Sep2009"
"FW08KY050",38.67,"Fair","SAP","KY",1036229.49064909,1796438.21715015,-83.9559278742,38.6054471437,2009,"16Sep2009"
"FW08KY056",4.8,"Poor","TPL","KY",768503.579781918,1614251.54608521,-87.2412267839,37.2503732798,2009,"27Sep2009"
"FW08KY062",13.3,"Poor","SAP","KY",969222.825586858,1812481.2242061,-84.7051391767,38.8207260133,2009,"30Sep2009"
"FW08KY072",55.53,"Good","TPL","KY",707035.917736142,1657558.57385846,-87.8962785177,37.6838862497,2009,"26Sep2009"
"FW08KY097",42.45,"Fair","CPL","KY",579059.379841906,1518541.34485511,-89.4672326434,36.5347441394,2008,"13Jul2008"
"FW08KY209",63.7,"Good","CPL","KY",592759.344624084,1527801.4755904,-89.305831501,36.6087019423,2008,"14Jul2008"
"FW08LA004",54.53,"Fair","CPL","LA",505632.043534754,889233.541564999,-90.6898908408,30.9517725351,2009,"20Jun2009"
"FW08LA005",65.95,"Good","CPL","LA",543128.824251847,859874.388353796,-90.315432873,30.668607593,2009,"19Jun2009"
"FW08LA006",62.6,"Good","CPL","LA",303200.654150343,902508.210598527,-92.809003943,31.1524024805,2008,"22Jul2008"
